channel1,channel2
4.0,4.0
3.8,3.8
3.7,3.7
32.6,32.6
31.73,31.73
30.99,30.99
29.52,29.52
27.05,27.05
22.84,22.84
16.93,16.93
9.31,9.31
1.01,1.01
-7.46,-7.46
-15.35,-15.35
-22.92,-22.92
-30.16,-30.16
-37.34,-37.34
-43.69,-43.69
-48.48,-48.48
-51.97,-51.97
-53.92,-53.92
-54.84,-54.84
-54.5,-54.5
-53.15,-53.15
-50.31,-50.31
-46.48,-46.48
-42.18,-42.18
-37.42,-37.42
-32.44,-32.44
-27.75,-27.75
-23.6,-23.6
-20.24,-20.24
-17.4,-17.4
-14.59,-14.59
-11.55,-11.55
-8.53,-8.53
-5.29,-5.29
-2.34,-2.34
0.35,0.35
2.5,2.5
4.39,4.39
5.51,5.51
5.62,5.62
4.97,4.97
2.59,2.59
-1.78,-1.78
-7.86,-7.86
-14.63,-14.63
-21.33,-21.33
-26.72,-26.72
-30.31,-30.31
-32.36,-32.36
-33.14,-33.14
-33.4,-33.4
-33.41,-33.41
-33.66,-33.66
-33.91,-33.91
-33.4,-33.4
-31.38,-31.38
-27.63,-27.63
-22.41,-22.41
-17.49,-17.49
-13.11,-13.11
-10.02,-10.02
-7.7,-7.7
-5.4,-5.4
-2.37,-2.37
2.13,2.13
8.34,8.34
16.49,16.49
25.56,25.56
34.55,34.55
42.2,42.2
48.52,48.52
54.03,54.03
58.48,58.48
61.38,61.38
63.0,63.0
63.34,63.34
62.91,62.91
61.98,61.98
60.56,60.56
58.38,58.38
55.97,55.97
53.32,53.32
50.94,50.94
48.81,48.81
46.96,46.96
44.86,44.86
43.27,43.27
41.95,41.95
41.13,41.13
40.3,40.3
39.73,39.73
39.41,39.41
39.34,39.34
39.27,39.27
39.18,39.18
38.84,38.84
38.0,38.0
36.66,36.66
35.08,35.08
33.0,33.0
30.94,30.94
29.15,29.15
27.61,27.61
26.34,26.34
24.82,24.82
22.81,22.81
20.82,20.82
18.59,18.59
16.39,16.39
13.95,13.95
11.77,11.77
9.88,9.88
8.48,8.48
7.36,7.36
6.74,6.74
6.13,6.13
6.02,6.02
5.91,5.91
5.81,5.81
4.95,4.95
3.35,3.35
1.27,1.27
-0.8,-0.8
-2.34,-2.34
-3.63,-3.63
-4.65,-4.65
-5.41,-5.41
-5.91,-5.91
-6.41,-6.41
-6.91,-6.91
-7.89,-7.89
-8.62,-8.62
-9.09,-9.09
-8.8,-8.8
-8.27,-8.27
-7.73,-7.73
-7.45,-7.45
-7.68,-7.68
-7.9,-7.9
-8.37,-8.37
-9.08,-9.08
-9.78,-9.78
-10.73,-10.73
-11.41,-11.41
-11.84,-11.84
-12.26,-12.26
-13.17,-13.17
-13.83,-13.83
-13.73,-13.73
-13.13,-13.13
-11.77,-11.77
-10.69,-10.69
-9.85,-9.85
-9.77,-9.77
-9.95,-9.95
-10.88,-10.88
-11.53,-11.53
-11.69,-11.69
-11.09,-11.09
-10.24,-10.24
-9.15,-9.15
-7.82,-7.82
-6.0,-6.0
-3.45,-3.45
-0.16,-0.16
2.84,2.84
4.07,4.07
3.03,3.03
0.0,0.0
-4.25,-4.25
-7.71,-7.71
-8.64,-8.64
-6.05,-6.05
-1.0,-1.0
5.02,5.02
9.47,9.47
11.38,11.38
10.03,10.03
6.19,6.19
1.37,1.37
-3.14,-3.14
-6.36,-6.36
-7.8,-7.8
-6.98,-6.98
-4.42,-4.42
-0.38,-0.38
4.87,4.87
10.33,10.33
15.73,15.73
20.84,20.84
25.64,25.64
30.15,30.15
34.36,34.36
38.77,38.77
43.14,43.14
47.22,47.22
50.49,50.49
52.73,52.73
53.2,53.2
52.9,52.9
52.09,52.09
51.79,51.79
51.73,51.73
51.91,51.91
52.34,52.34
52.75,52.75
52.15,52.15
50.29,50.29
46.7,46.7
41.63,41.63
35.11,35.11
27.13,27.13
17.98,17.98
7.9,7.9
-1.83,-1.83
-11.22,-11.22
-19.53,-19.53
-26.76,-26.76
-33.16,-33.16
-38.26,-38.26
