channel1,channel2
10.33,10.33
9.08,9.08
6.83,6.83
4.6,4.6
2.64,2.64
1.46,1.46
1.53,1.53
2.6,2.6
4.16,4.16
5.7,5.7
6.23,6.23
5.76,5.76
5.29,5.29
4.32,4.32
3.36,3.36
2.16,2.16
0.71,0.71
0.04,0.04
-0.14,-0.14
-0.06,-0.06
-0.48,-0.48
-0.65,-0.65
-0.56,-0.56
0.27,0.27
1.6,1.6
3.41,3.41
4.71,4.71
4.49,4.49
3.53,3.53
1.82,1.82
1.38,1.38
2.69,2.69
5.49,5.49
9.02,9.02
11.75,11.75
13.22,13.22
13.41,13.41
12.48,12.48
10.81,10.81
9.28,9.28
8.38,8.38
8.86,8.86
10.34,10.34
12.68,12.68
14.99,14.99
16.79,16.79
17.56,17.56
17.2,17.2
15.96,15.96
14.23,14.23
12.64,12.64
11.57,11.57
11.63,11.63
13.05,13.05
15.34,15.34
17.73,17.73
18.98,18.98
18.83,18.83
17.55,17.55
16.04,16.04
15.29,15.29
15.41,15.41
16.04,16.04
16.52,16.52
16.63,16.63
16.48,16.48
15.96,15.96
14.94,14.94
13.3,13.3
11.43,11.43
9.82,9.82
8.85,8.85
8.26,8.26
7.93,7.93
7.84,7.84
7.76,7.76
7.55,7.55
7.34,7.34
6.89,6.89
6.31,6.31
5.86,5.86
5.29,5.29
5.09,5.09
5.15,5.15
5.71,5.71
6.64,6.64
7.68,7.68
8.34,8.34
8.61,8.61
8.51,8.51
8.53,8.53
8.55,8.55
8.81,8.81
9.2,9.2
9.21,9.21
8.22,8.22
5.98,5.98
2.64,2.64
-1.04,-1.04
-4.57,-4.57
-7.06,-7.06
-8.79,-8.79
-9.24,-9.24
-7.93,-7.93
-5.02,-5.02
-0.75,-0.75
3.35,3.35
6.41,6.41
7.57,7.57
7.35,7.35
6.62,6.62
6.4,6.4
7.56,7.56
9.7,9.7
12.2,12.2
14.18,14.18
15.25,15.25
15.2,15.2
14.26,14.26
12.83,12.83
11.54,11.54
10.51,10.51
9.86,9.86
9.21,9.21
8.7,8.7
8.06,8.06
7.8,7.8
7.67,7.67
7.41,7.41
6.53,6.53
4.91,4.91
3.3,3.3
2.2,2.2
2.24,2.24
3.41,3.41
5.31,5.31
6.82,6.82
6.81,6.81
4.93,4.93
1.57,1.57
-2.02,-2.02
-4.7,-4.7
-5.72,-5.72
-5.11,-5.11
-3.88,-3.88
-3.04,-3.04
-2.58,-2.58
-2.37,-2.37
-2.04,-2.04
-1.46,-1.46
-1.01,-1.01
-0.69,-0.69
-0.62,-0.62
-0.31,-0.31
0.5,0.5
1.68,1.68
2.85,2.85
3.51,3.51
3.16,3.16
2.19,2.19
1.23,1.23
1.03,1.03
1.7,1.7
3.24,3.24
4.64,4.64
5.29,5.29
5.04,5.04
4.18,4.18
3.32,3.32
2.71,2.71
2.37,2.37
2.28,2.28
2.06,2.06
1.71,1.71
1.13,1.13
0.54,0.54
0.09,0.09
0.14,0.14
0.94,0.94
1.86,1.86
2.77,2.77
3.29,3.29
3.56,3.56
3.71,3.71
3.6,3.6
3.24,3.24
2.76,2.76
2.65,2.65
3.3,3.3
4.32,4.32
5.33,5.33
6.32,6.32
6.93,6.93
7.04,7.04
6.64,6.64
6.0,6.0
5.61,5.61
5.47,5.47
5.96,5.96
6.69,6.69
7.67,7.67
8.26,8.26
8.72,8.72
8.8,8.8
8.5,8.5
7.7,7.7
6.54,6.54
5.13,5.13
3.74,3.74
2.35,2.35
1.48,1.48
0.87,0.87
0.14,0.14
-0.83,-0.83
-1.8,-1.8
-2.26,-2.26
-2.46,-2.46
-2.41,-2.41
-2.23,-2.23
-2.31,-2.31
-2.89,-2.89
-4.08,-4.08
-5.76,-5.76
-7.56,-7.56
-8.83,-8.83
-9.22,-9.22
-8.85,-8.85
-8.11,-8.11
-7.12,-7.12
-6.27,-6.27
-6.17,-6.17
-6.95,-6.95
-8.6,-8.6
-10.35,-10.35
-10.96,-10.96
-10.19,-10.19
-8.18,-8.18
-5.3,-5.3
-2.71,-2.71
-0.76,-0.76
0.55,0.55
1.97,1.97
4.5,4.5
8.38,8.38
12.98,12.98
17.15,17.15
19.91,19.91
21.15,21.15
20.74,20.74
19.08,19.08
16.32,16.32
12.94,12.94
9.98,9.98
8.16,8.16
7.86,7.86
8.56,8.56
9.5,9.5
10.06,10.06
10.11,10.11
9.66,9.66
8.46,8.46
6.65,6.65
3.72,3.72
0.08,0.08
-3.79,-3.79
-7.37,-7.37
-10.66,-10.66
-13.55,-13.55
-16.16,-16.16
-18.24,-18.24
-19.68,-19.68
-20.22,-20.22
-20.01,-20.01
-18.54,-18.54
-15.59,-15.59
-11.91,-11.91
-8.26,-8.26
-5.65,-5.65
-4.43,-4.43
-4.22,-4.22
-4.64,-4.64
-5.43,-5.43
-6.46,-6.46
-7.99,-7.99
-9.62,-9.62
-11.23,-11.23
-11.83,-11.83
-11.42,-11.42
-10.14,-10.14
-8.62,-8.62
-7.61,-7.61
-8.11,-8.11
-9.98,-9.98
-12.45,-12.45
-14.41,-14.41
-14.59,-14.59
-13.01,-13.01
-10.32,-10.32
-8.04,-8.04
-7.02,-7.02
-7.88,-7.88
-10.24,-10.24
-13.2,-13.2
-15.25,-15.25
-15.66,-15.66
-14.68,-14.68
-12.97,-12.97
-11.64,-11.64
-10.82,-10.82
-10.89,-10.89
-11.57,-11.57
-12.75,-12.75
-14.04,-14.04
-14.69,-14.69
-14.46,-14.46
-13.73,-13.73
-12.5,-12.5
-11.16,-11.16
-9.7,-9.7
-8.63,-8.63
-8.44,-8.44
-9.75,-9.75
-11.8,-11.8
-13.46,-13.46
-13.85,-13.85
-12.73,-12.73
-10.74,-10.74
-8.02,-8.02
-5.2,-5.2
-2.66,-2.66
-1.39,-1.39
-1.37,-1.37
-2.24,-2.24
-1.22,-1.22
5.91,5.91
21.86,21.86
44.4,44.4
68.36,68.36
87.34,87.34
97.51,97.51
98.44,98.44
92.1,92.1
82.18,82.18
71.84,71.84
62.83,62.83
55.77,55.77
50.89,50.89
47.55,47.55
45.35,45.35
42.8,42.8
38.51,38.51
31.12,31.12
21.31,21.31
10.83,10.83
2.06,2.06
-4.0,-4.0
-7.0,-7.0
-8.09,-8.09
-8.31,-8.31
-8.89,-8.89
-10.47,-10.47
-12.78,-12.78
-15.82,-15.82
-18.33,-18.33
-20.31,-20.31
-21.27,-21.27
-21.72,-21.72
-22.16,-22.16
-23.6,-23.6
-25.52,-25.52
-28.16,-28.16
-30.03,-30.03
-31.63,-31.63
-32.2,-32.2
-31.52,-31.52
-30.34,-30.34
-29.41,-29.41
-29.0,-29.0
-29.58,-29.58
-30.64,-30.64
-31.45,-31.45
-31.74,-31.74
-31.27,-31.27
-30.8,-30.8
-30.59,-30.59
-30.87,-30.87
-31.65,-31.65
-33.41,-33.41
-34.9,-34.9
-35.88,-35.88
-35.08,-35.08
-33.29,-33.29
-32.01,-32.01
-32.23,-32.23
-33.96,-33.96
-36.66,-36.66
-38.83,-38.83
-39.97,-39.97
-39.35,-39.35
-36.98,-36.98
-33.37,-33.37
-30.04,-30.04
-27.74,-27.74
-27.2,-27.2
-27.91,-27.91
-29.12,-29.12
-29.81,-29.81
-30.23,-30.23
-30.16,-30.16
-29.32,-29.32
-27.49,-27.49
-24.67,-24.67
-22.12,-22.12
-20.85,-20.85
-21.08,-21.08
-21.55,-21.55
-21.27,-21.27
-20.49,-20.49
-19.47,-19.47
-18.95,-18.95
-19.17,-19.17
-19.15,-19.15
-19.12,-19.12
-18.34,-18.34
-17.07,-17.07
-15.8,-15.8
-15.05,-15.05
-15.79,-15.79
-17.53,-17.53
-19.5,-19.5
-20.45,-20.45
-20.13,-20.13
-18.07,-18.07
-14.27,-14.27
-9.76,-9.76
-5.78,-5.78
-4.09,-4.09
-4.67,-4.67
-7.24,-7.24
-9.54,-9.54
-10.3,-10.3
-9.32,-9.32
-6.84,-6.84
-4.14,-4.14
-1.95,-1.95
-1.04,-1.04
-1.13,-1.13
-1.48,-1.48
-2.07,-2.07
-2.4,-2.4
-2.48,-2.48
-2.32,-2.32
-2.14,-2.14
-2.23,-2.23
-2.06,-2.06
-1.89,-1.89
-1.73,-1.73
-1.56,-1.56
-1.4,-1.4
-1.24,-1.24
-1.07,-1.07
-1.42,-1.42
-2.0,-2.0
-2.59,-2.59
-3.41,-3.41
-4.23,-4.23
-4.04,-4.04
-3.1,-3.1
-1.42,-1.42
0.0,0.0
0.4,0.4
-0.2,-0.2
-1.54,-1.54
-2.88,-2.88
-3.45,-3.45
-2.51,-2.51
-0.58,-0.58
1.58,1.58
3.22,3.22
3.84,3.84
3.96,3.96
3.33,3.33
2.2,2.2
0.83,0.83
-0.28,-0.28
-0.37,-0.37
1.03,1.03
3.43,3.43
5.8,5.8
7.14,7.14
6.98,6.98
5.56,5.56
3.66,3.66
2.27,2.27
1.65,1.65
2.53,2.53
3.9,3.9
5.51,5.51
6.85,6.85
7.19,7.19
7.01,7.01
6.59,6.59
6.17,6.17
6.0,6.0
6.09,6.09
6.42,6.42
7.0,7.0
7.82,7.82
8.88,8.88
9.18,9.18
8.73,8.73
8.03,8.03
7.09,7.09
6.4,6.4
6.22,6.22
6.29,6.29
6.11,6.11
5.67,5.67
4.5,4.5
3.08,3.08
1.67,1.67
0.53,0.53
-0.86,-0.86
-1.73,-1.73
-2.09,-2.09
-1.45,-1.45
-0.06,-0.06
2.31,2.31
5.16,5.16
7.24,7.24
8.29,8.29
8.59,8.59
8.63,8.63
8.66,8.66
9.45,9.45
10.48,10.48
10.99,10.99
11.51,11.51
11.51,11.51
11.26,11.26
11.01,11.01
10.77,10.77
10.77,10.77
11.02,11.02
11.27,11.27
11.77,11.77
12.25,12.25
12.98,12.98
13.96,13.96
14.92,14.92
15.12,15.12
15.32,15.32
16.01,16.01
17.7,17.7
20.11,20.11
22.25,22.25
23.87,23.87
24.47,24.47
24.06,24.06
23.4,23.4
22.74,22.74
22.34,22.34
22.43,22.43
22.53,22.53
22.86,22.86
22.7,22.7
22.52,22.52
22.85,22.85
23.42,23.42
24.48,24.48
25.03,25.03
25.32,25.32
24.86,24.86
23.89,23.89
22.68,22.68
21.47,21.47
20.28,20.28
19.59,19.59
19.41,19.41
19.22,19.22
19.53,19.53
19.84,19.84
20.64,20.64
21.43,21.43
22.21,22.21
22.23,22.23
21.75,21.75
20.27,20.27
18.79,18.79
17.58,17.58
16.88,16.88
16.93,16.93
17.23,17.23
17.77,17.77
18.05,18.05
17.84,17.84
17.11,17.11
15.9,15.9
14.44,14.44
12.99,12.99
12.55,12.55
12.62,12.62
13.43,13.43
13.99,13.99
14.04,14.04
13.83,13.83
13.38,13.38
12.67,12.67
12.22,12.22
11.78,11.78
10.83,10.83
9.89,9.89
8.96,8.96
8.04,8.04
7.37,7.37
7.71,7.71
9.04,9.04
10.87,10.87
12.17,12.17
11.46,11.46
9.0,9.0
5.57,5.57
2.66,2.66
1.53,1.53
2.16,2.16
4.54,4.54
7.14,7.14
8.72,8.72
9.28,9.28
8.59,8.59
7.4,7.4
6.47,6.47
6.05,6.05
6.13,6.13
6.71,6.71
7.03,7.03
7.6,7.6
7.66,7.66
7.97,7.97
7.78,7.78
7.59,7.59
7.9,7.9
8.45,8.45
9.0,9.0
9.04,9.04
8.08,8.08
6.63,6.63
5.44,5.44
