channel1,channel2
43.03,43.03
33.66,33.66
26.62,26.62
24.14,24.14
25.68,25.68
29.7,29.7
34.43,34.43
39.61,39.61
42.99,42.99
42.33,42.33
36.42,36.42
27.56,27.56
19.53,19.53
15.56,15.56
14.88,14.88
15.96,15.96
17.52,17.52
19.07,19.07
20.84,20.84
20.6,20.6
16.61,16.61
8.9,8.9
0.26,0.26
-4.3,-4.3
-3.07,-3.07
1.9,1.9
6.58,6.58
9.46,9.46
11.07,11.07
11.4,11.4
9.48,9.48
5.33,5.33
-0.03,-0.03
-3.09,-3.09
-1.88,-1.88
2.57,2.57
7.98,7.98
12.09,12.09
13.66,13.66
12.72,12.72
8.28,8.28
-0.12,-0.12
-10.44,-10.44
-19.16,-19.16
-23.81,-23.81
-24.16,-24.16
-21.0,-21.0
-14.36,-14.36
-5.54,-5.54
2.96,2.96
7.37,7.37
6.25,6.25
0.63,0.63
-5.93,-5.93
-10.18,-10.18
-11.64,-11.64
-10.84,-10.84
-8.3,-8.3
-2.77,-2.77
3.95,3.95
8.87,8.87
8.23,8.23
1.86,1.86
-5.96,-5.96
-9.46,-9.46
-5.68,-5.68
3.57,3.57
14.74,14.74
24.8,24.8
31.52,31.52
32.92,32.92
27.3,27.3
15.98,15.98
3.76,3.76
-4.35,-4.35
-6.38,-6.38
-3.9,-3.9
0.82,0.82
6.74,6.74
13.35,13.35
18.91,18.91
21.16,21.16
18.13,18.13
11.63,11.63
5.19,5.19
0.31,0.31
-2.53,-2.53
-4.1,-4.1
-3.64,-3.64
0.3,0.3
6.97,6.97
13.32,13.32
15.86,15.86
14.12,14.12
10.15,10.15
6.96,6.96
5.3,5.3
2.66,2.66
-1.71,-1.71
-6.04,-6.04
-7.08,-7.08
-3.86,-3.86
1.08,1.08
4.73,4.73
6.84,6.84
9.18,9.18
12.25,12.25
14.54,14.54
14.31,14.31
10.82,10.82
5.12,5.12
-1.28,-1.28
-8.12,-8.12
-14.4,-14.4
-18.62,-18.62
-19.3,-19.3
-16.47,-16.47
-12.92,-12.92
-10.64,-10.64
-9.88,-9.88
-10.38,-10.38
-12.12,-12.12
-16.35,-16.35
-23.28,-23.28
-29.9,-29.9
-33.2,-33.2
-30.72,-30.72
-23.75,-23.75
-15.84,-15.84
-9.51,-9.51
-6.48,-6.48
-6.48,-6.48
-9.47,-9.47
-15.19,-15.19
-21.35,-21.35
-25.46,-25.46
-25.27,-25.27
-21.58,-21.58
-17.42,-17.42
-14.55,-14.55
-13.95,-13.95
-15.6,-15.6
-19.99,-19.99
-26.58,-26.58
-33.36,-33.36
-37.07,-37.07
-35.74,-35.74
-28.92,-28.92
-20.16,-20.16
-11.72,-11.72
-5.86,-5.86
-3.8,-3.8
-6.76,-6.76
-13.94,-13.94
-23.06,-23.06
-30.33,-30.33
-31.79,-31.79
-26.98,-26.98
-17.96,-17.96
-8.01,-8.01
-0.66,-0.66
1.87,1.87
-0.11,-0.11
-5.33,-5.33
-11.0,-11.0
-13.62,-13.62
-10.71,-10.71
-3.33,-3.33
4.49,4.49
9.73,9.73
11.92,11.92
13.6,13.6
15.5,15.5
16.39,16.39
14.02,14.02
9.41,9.41
6.6,6.6
8.31,8.31
13.0,13.0
17.4,17.4
18.75,18.75
16.84,16.84
13.95,13.95
12.08,12.08
10.98,10.98
10.13,10.13
9.54,9.54
10.2,10.2
11.11,11.11
11.0,11.0
8.9,8.9
5.81,5.81
2.0,2.0
-2.27,-2.27
-7.76,-7.76
-13.69,-13.69
-16.07,-16.07
-11.17,-11.17
0.18,0.18
13.18,13.18
21.56,21.56
23.11,23.11
19.89,19.89
14.7,14.7
9.05,9.05
3.45,3.45
-1.1,-1.1
-2.1,-2.1
1.4,1.4
7.88,7.88
13.79,13.79
17.15,17.15
18.22,18.22
18.78,18.78
19.08,19.08
17.63,17.63
13.69,13.69
7.28,7.28
0.93,0.93
-3.12,-3.12
-3.62,-3.62
-0.62,-0.62
3.85,3.85
7.03,7.03
5.68,5.68
-0.66,-0.66
-9.19,-9.19
-15.64,-15.64
-16.78,-16.78
-13.41,-13.41
-8.81,-8.81
-6.76,-6.76
-7.47,-7.47
-9.93,-9.93
-11.86,-11.86
-14.02,-14.02
-16.16,-16.16
-18.03,-18.03
-18.38,-18.38
-16.23,-16.23
-13.34,-13.34
-10.97,-10.97
-9.38,-9.38
-7.54,-7.54
-4.48,-4.48
-1.94,-1.94
-1.92,-1.92
-3.9,-3.9
-5.12,-5.12
-2.82,-2.82
3.45,3.45
11.92,11.92
19.56,19.56
24.38,24.38
25.4,25.4
22.4,22.4
16.18,16.18
8.52,8.52
3.17,3.17
1.87,1.87
5.09,5.09
10.27,10.27
15.4,15.4
18.99,18.99
21.04,21.04
20.31,20.31
15.59,15.59
7.42,7.42
-0.44,-0.44
-5.22,-5.22
-6.46,-6.46
-5.69,-5.69
-4.17,-4.17
-2.92,-2.92
-1.67,-1.67
-0.44,-0.44
0.28,0.28
0.49,0.49
1.96,1.96
4.65,4.65
7.58,7.58
8.97,8.97
7.85,7.85
4.75,4.75
1.91,1.91
0.11,0.11
-1.93,-1.93
-5.2,-5.2
-8.44,-8.44
-8.9,-8.9
-5.61,-5.61
0.16,0.16
5.12,5.12
8.29,8.29
10.43,10.43
12.04,12.04
12.15,12.15
8.99,8.99
2.62,2.62
-3.95,-3.95
-7.21,-7.21
-6.18,-6.18
-2.67,-2.67
0.32,0.32
1.77,1.77
1.97,1.97
1.16,1.16
-0.64,-0.64
-3.18,-3.18
-5.19,-5.19
-6.18,-6.18
-6.67,-6.67
-7.14,-7.14
-7.62,-7.62
-6.58,-6.58
-3.31,-3.31
1.44,1.44
4.64,4.64
3.81,3.81
-1.01,-1.01
-6.28,-6.28
-9.26,-9.26
-9.46,-9.46
-8.9,-8.9
-8.1,-8.1
-7.06,-7.06
-5.77,-5.77
-5.25,-5.25
-5.72,-5.72
-6.45,-6.45
-5.41,-5.41
-1.39,-1.39
4.35,4.35
9.79,9.79
13.17,13.17
13.77,13.77
11.37,11.37
5.23,5.23
-3.6,-3.6
-12.1,-12.1
-16.52,-16.52
-15.14,-15.14
-9.03,-9.03
-1.47,-1.47
5.02,5.02
8.95,8.95
9.34,9.34
5.98,5.98
-1.85,-1.85
-12.36,-12.36
-22.53,-22.53
-28.09,-28.09
-27.86,-27.86
-23.37,-23.37
-17.66,-17.66
-12.51,-12.51
-8.4,-8.4
-6.33,-6.33
-7.52,-7.52
-10.96,-10.96
-14.11,-14.11
-14.23,-14.23
-10.6,-10.6
-5.74,-5.74
-2.94,-2.94
-2.4,-2.4
-3.12,-3.12
-3.84,-3.84
-4.54,-4.54
-5.99,-5.99
-7.18,-7.18
-6.61,-6.61
-3.28,-3.28
2.76,2.76
8.75,8.75
13.43,13.43
16.06,16.06
16.42,16.42
14.27,14.27
9.14,9.14
2.56,2.56
-1.96,-1.96
-1.45,-1.45
4.07,4.07
10.03,10.03
13.19,13.19
12.06,12.06
7.95,7.95
2.12,2.12
-5.41,-5.41
-12.37,-12.37
-17.01,-17.01
-17.61,-17.61
-15.7,-15.7
-14.55,-14.55
-16.16,-16.16
-18.76,-18.76
-19.83,-19.83
-19.13,-19.13
-18.69,-18.69
-19.75,-19.75
-21.05,-21.05
-19.83,-19.83
-16.12,-16.12
-12.7,-12.7
-11.8,-11.8
-14.16,-14.16
-17.99,-17.99
-20.29,-20.29
-19.81,-19.81
-15.83,-15.83
-8.64,-8.64
1.49,1.49
11.27,11.27
17.21,17.21
16.35,16.35
9.99,9.99
1.94,1.94
-4.03,-4.03
-6.21,-6.21
-6.11,-6.11
-4.01,-4.01
-1.18,-1.18
2.37,2.37
4.89,4.89
5.39,5.39
3.63,3.63
2.64,2.64
4.91,4.91
9.4,9.4
12.11,12.11
10.53,10.53
5.22,5.22
-1.04,-1.04
-6.0,-6.0
-8.66,-8.66
-8.79,-8.79
-7.18,-7.18
-3.82,-3.82
0.0,0.0
2.29,2.29
0.81,0.81
-3.66,-3.66
-8.59,-8.59
-10.72,-10.72
-9.33,-9.33
-5.7,-5.7
-0.85,-0.85
4.45,4.45
8.95,8.95
9.92,9.92
6.62,6.62
0.85,0.85
-3.37,-3.37
-3.8,-3.8
-1.22,-1.22
0.83,0.83
1.36,1.36
1.39,1.39
2.42,2.42
4.69,4.69
5.93,5.93
6.17,6.17
6.15,6.15
7.88,7.88
10.85,10.85
13.03,13.03
13.69,13.69
13.35,13.35
13.76,13.76
14.91,14.91
14.79,14.79
11.43,11.43
5.85,5.85
1.06,1.06
-1.18,-1.18
-1.65,-1.65
-3.12,-3.12
-6.32,-6.32
-8.74,-8.74
-8.39,-8.39
-5.79,-5.79
-2.46,-2.46
0.34,0.34
2.11,2.11
2.61,2.61
1.36,1.36
-1.38,-1.38
-3.84,-3.84
-3.53,-3.53
-0.22,-0.22
3.8,3.8
5.54,5.54
4.27,4.27
1.75,1.75
0.51,0.51
0.77,0.77
2.04,2.04
3.29,3.29
5.28,5.28
8.01,8.01
10.7,10.7
11.62,11.62
10.78,10.78
9.95,9.95
10.87,10.87
13.03,13.03
13.92,13.92
11.8,11.8
8.2,8.2
4.63,4.63
2.09,2.09
-0.17,-0.17
-1.92,-1.92
-1.9,-1.9
0.62,0.62
4.37,4.37
5.33,5.33
1.79,1.79
-4.73,-4.73
-10.93,-10.93
-14.58,-14.58
-16.44,-16.44
-17.53,-17.53
-17.11,-17.11
-12.44,-12.44
-4.06,-4.06
4.25,4.25
8.48,8.48
7.66,7.66
4.11,4.11
1.58,1.58
1.08,1.08
1.83,1.83
2.83,2.83
4.57,4.57
6.79,6.79
8.73,8.73
9.41,9.41
8.83,8.83
9.01,9.01
9.93,9.93
9.85,9.85
6.51,6.51
0.95,0.95
-2.81,-2.81
-1.78,-1.78
2.74,2.74
7.21,7.21
