channel1,channel2
-529.95,-529.95
-511.29,-511.29
-494.22,-494.22
-477.48,-477.48
-460.33,-460.33
-442.26,-442.26
-424.29,-424.29
-406.17,-406.17
-388.66,-388.66
-371.74,-371.74
-355.43,-355.43
-339.2,-339.2
-323.33,-323.33
-307.8,-307.8
-292.62,-292.62
-277.52,-277.52
-262.78,-262.78
-248.14,-248.14
-233.83,-233.83
-219.62,-219.62
-205.77,-205.77
-192.0,-192.0
-178.59,-178.59
-165.52,-165.52
-152.8,-152.8
-140.41,-140.41
-128.09,-128.09
-115.91,-115.91
-104.06,-104.06
-92.28,-92.28
-80.62,-80.62
-69.53,-69.53
-58.56,-58.56
-48.16,-48.16
-37.59,-37.59
-27.41,-27.41
-17.25,-17.25
-7.22,-7.22
2.47,2.47
12.06,12.06
21.09,21.09
30.0,30.0
38.88,38.88
47.38,47.38
55.81,55.81
63.88,63.88
71.87,71.87
79.81,79.81
87.44,87.44
94.94,94.94
102.06,102.06
109.19,109.19
116.19,116.19
122.87,122.87
129.44,129.44
135.75,135.75
141.94,141.94
147.75,147.75
153.81,153.81
159.5,159.5
164.94,164.94
170.19,170.19
175.44,175.44
180.37,180.37
185.44,185.44
190.19,190.19
194.62,194.62
199.25,199.25
203.31,203.31
207.31,207.31
211.19,211.19
215.06,215.06
218.56,218.56
222.0,222.0
225.5,225.5
229.0,229.0
232.0,232.0
235.25,235.25
237.87,237.87
240.5,240.5
243.0,243.0
245.37,245.37
247.87,247.87
250.12,250.12
252.5,252.5
254.37,254.37
256.37,256.37
258.5,258.5
260.0,260.0
261.5,261.5
262.37,262.37
263.62,263.62
264.62,264.62
265.5,265.5
266.62,266.62
267.5,267.5
268.37,268.37
269.12,269.12
269.75,269.75
270.25,270.25
270.5,270.5
270.87,270.87
271.12,271.12
271.12,271.12
271.25,271.25
271.12,271.12
271.12,271.12
270.87,270.87
270.5,270.5
270.25,270.25
269.87,269.87
269.25,269.25
268.62,268.62
268.0,268.0
267.25,267.25
266.37,266.37
265.5,265.5
264.5,264.5
263.62,263.62
262.62,262.62
261.62,261.62
260.75,260.75
259.75,259.75
258.37,258.37
256.87,256.87
255.0,255.0
253.25,253.25
251.37,251.37
249.75,249.75
248.12,248.12
246.5,246.5
244.75,244.75
243.0,243.0
241.25,241.25
239.25,239.25
237.37,237.37
235.25,235.25
233.25,233.25
231.12,231.12
229.0,229.0
226.87,226.87
224.75,224.75
222.5,222.5
220.37,220.37
221.62,221.62
243.5,243.5
321.5,321.5
484.25,484.25
715.62,715.62
954.62,954.62
1133.63,1133.63
1215.38,1215.38
1204.0,1204.0
1132.63,1132.63
1042.5,1042.5
964.5,964.5
912.5,912.5
884.5,884.5
869.75,869.75
856.62,856.62
838.0,838.0
811.5,811.5
779.5,779.5
745.37,745.37
712.62,712.62
682.62,682.62
655.44,655.44
630.31,630.31
605.87,605.87
581.25,581.25
556.37,556.37
531.12,531.12
506.06,506.06
481.37,481.37
457.31,457.31
433.94,433.94
411.06,411.06
388.75,388.75
366.81,366.81
345.12,345.12
323.69,323.69
302.56,302.56
282.0,282.0
261.75,261.75
241.81,241.81
222.41,222.41
203.25,203.25
184.5,184.5
166.12,166.12
148.03,148.03
130.31,130.31
112.87,112.87
95.95,95.95
79.17,79.17
62.91,62.91
46.91,46.91
31.17,31.17
15.82,15.82
0.86,0.86
-13.84,-13.84
-28.28,-28.28
-42.33,-42.33
-56.12,-56.12
-69.66,-69.66
-82.8,-82.8
-95.56,-95.56
-108.2,-108.2
-120.45,-120.45
-132.58,-132.58
-144.31,-144.31
-163.31,-163.31
-220.47,-220.47
-359.59,-359.59
-588.62,-588.62
-856.84,-856.84
-1087.13,-1087.13
-1224.13,-1224.13
-1256.44,-1256.44
-1210.69,-1210.69
-1130.13,-1130.13
-1053.13,-1053.13
-1001.19,-1001.19
-976.56,-976.56
-970.25,-970.25
-969.37,-969.37
-964.37,-964.37
-951.0,-951.0
-930.06,-930.06
-905.5,-905.5
-880.75,-880.75
-858.56,-858.56
-839.5,-839.5
-822.69,-822.69
-806.69,-806.69
-790.69,-790.69
-773.94,-773.94
-756.75,-756.75
-739.12,-739.12
-721.81,-721.81
-705.0,-705.0
-688.5,-688.5
-672.56,-672.56
-656.69,-656.69
-641.31,-641.31
-626.0,-626.0
-610.75,-610.75
-595.5,-595.5
-580.62,-580.62
-566.0,-566.0
-551.44,-551.44
-537.12,-537.12
-523.19,-523.19
-509.5,-509.5
-495.87,-495.87
-482.25,-482.25
-469.0,-469.0
-456.0,-456.0
-443.06,-443.06
-430.19,-430.19
-417.87,-417.87
-405.37,-405.37
-393.37,-393.37
-381.19,-381.19
-369.56,-369.56
-357.75,-357.75
-346.5,-346.5
-335.06,-335.06
-324.12,-324.12
-313.0,-313.0
-302.19,-302.19
-291.69,-291.69
-281.25,-281.25
-271.12,-271.12
-261.0,-261.0
-250.94,-250.94
-241.25,-241.25
-231.56,-231.56
-222.12,-222.12
-212.81,-212.81
-203.56,-203.56
-194.56,-194.56
-185.62,-185.62
-177.0,-177.0
-168.44,-168.44
-159.94,-159.94
-151.75,-151.75
-143.56,-143.56
-135.69,-135.69
-127.87,-127.87
-120.12,-120.12
-112.69,-112.69
-105.06,-105.06
-97.94,-97.94
-90.69,-90.69
-83.69,-83.69
-76.75,-76.75
-70.09,-70.09
-63.5,-63.5
-56.94,-56.94
-50.47,-50.47
-44.28,-44.28
-38.13,-38.13
-32.19,-32.19
-26.28,-26.28
-20.53,-20.53
-14.84,-14.84
-9.34,-9.34
-3.87,-3.87
1.44,1.44
6.53,6.53
11.63,11.63
16.62,16.62
21.47,21.47
26.16,26.16
30.91,30.91
35.38,35.38
39.77,39.77
44.13,44.13
48.45,48.45
52.72,52.72
56.69,56.69
60.63,60.63
64.37,64.37
67.97,67.97
71.52,71.52
75.02,75.02
78.47,78.47
81.88,81.88
85.13,85.13
88.34,88.34
91.37,91.37
94.37,94.37
97.2,97.2
100.11,100.11
102.73,102.73
105.44,105.44
107.98,107.98
110.48,110.48
112.94,112.94
115.24,115.24
117.5,117.5
119.6,119.6
121.78,121.78
123.93,123.93
125.91,125.91
